AARDVARKS,AARDVARK(South African) a nocturnal
AASVOGELS,AASVOGEL(South African) a South African vulture [n]
ABACTINAL,remote from the actinal area (of a radiate animal) [adj ABACTINALLY]
ABAMPERES,ABAMPEREa unit of electric current equivalent to 10 amperes [n]
ABANDONED,ABANDONto leave or give up completely [v]
ABANDONEE,one to whom anything is legally abandoned [n -S]
ABANDONER,one who abandons [n -S]
ABASEMENT,the state of being abased (humbled); humiliation [n -S]
ABASHEDLY,ABASHEDABASH
ABASHLESS,(obsolete) unabashed (unashamed; not embarrassed) [adj]
ABASHMENT,the state of being abashed [n -S]
ABATEMENT,a diminution; a mark of dishonour added to heraldic arms [n -S]
ABATTISES,ABATTIS(French) a barrier made of felled trees or branches
ABATTOIRS,ABATTOIR(French) a public slaughterhouse [n]
ABBOTCIES,ABBOTCYthe office of an abbot
ABBOTSHIP,the office of an abbot (the head of a monastery) [n -S]
ABCOULOMB,the unit of electric chargeequal to ten coulombs [n -S]
ABDICABLE,capable of being abdicated [adj]
ABDICANTS,ABDICANTone who abdicates [n]
ABDICATED,ABDICATEto renounce or surrender formally
ABDICATES,ABDICATEto renounce or surrender formally
ABDICATOR,one who abdicates [n -S]
ABDOMINAL,relating to the abdomen [adj ABDOMINALLY] / an abdominal muscle [n -S]
ABDUCTEES,ABDUCTEEone who is abducted [n]
ABDUCTING,ABDUCTto carry someone away with force; to kidnap [v]
ABDUCTION,the act of abducing or abducting [n -S]
ABDUCTORS,ABDUCTORa person who abducts [n]
ABELMOSKS,ABELMOSKan evergreen shrub of the East and West Indies
ABERNETHY,a crisp unleavened biscuit invented by Dr John Abernethy of Scotland [n ABERNETHIES]
ABERRANCE,the state of being aberrant; deviation from a normalso ABERRANCY [n -S]
ABERRANCY,the state of being aberrant; deviation from a normalso ABERRANCE [n ABERRANCIES]
ABERRANTS,ABERRANTone who commits an aberration [n]
ABERRATED,ABERRATEto go astray
ABERRATES,ABERRATEto go astray
ABESSIVES,ABESSIVEa grammatical case denoting absence or lack [n]
ABETMENTS,ABETMENTthe act of abetting
ABEYANCES,ABEYANCEa state of suspension or temporary inactivity
ABHENRIES,ABHENRYa unit of inductance
ABHORRENT,loathsome [adj]
ABHORRERS,ABHORRERone who abhors [n]
ABHORRING,an object of abhorrence [n -S]
ABIDANCES,ABIDANCEthe act of abiding [n]
ABIDINGLY,ABIDINGcontinual [adv]
ABILITIES,ABILITYa special skill [n]
ABIOGENIC,relating to abiogenesisthe origination of life by nonliving matter
ABJECTING,ABJECTto throw out
ABJECTION,the act of bringing down or humbling [n -S]
ABJOINTED,ABJOINTto cut off by forming a septum [v]
ABLATIONS,ABLATIONsurgical removal of a bodily part [n]
