AAHED,AAHto exclaim in surprise [v]
AALII,(Hawaiian) a tropical tree [n -S]
AARGH,an exclamation indicating dismayalso AARRGH
AARTI,(Hindi) an Indian ceremony in which candles dipped in ghee are lighted and offered to various deitiesalso ARTI [n -S]
ABACA,(Tagalog) a Philippine plantalso ABAKA [n -S]
ABACI,ABACUS(Latin) a counting frame using beads [n]
ABACK,towards the back [adv]
ABACS,ABAC a nomogram
ABAFT,towards or at the stern of a ship [adv]
ABAKA,(Tagalog) the Manila-hemp plantor its fiber
ABAMP,short for ABAMPEREa unit of electric current equivalent to 10 amperes [n -S]
ABAND,(Spenser) to abandon [v -ED-ING
ABASE,to lower in rankprestige
ABASH,to strike with shame [v -ED-ING
ABASK,in genial warmth [adv]
ABATE,to reduce in intensity [v ABATEDABATING
ABAYA,a Syrian cloth of goat's or camel's hair; an outer garment made of italso ABA
ABBAS,ABBAa Syrian cloth of goat's or camel's hair; an outer garment made of it
ABBED,displaying well-developed abdominal muscles [adj]
ABBES,ABBE(French) a courtesy title given in France to every one vested with the ecclesiastical habit or dress [n]
ABBEY,a building inhabited by a community of monks or nuns governed by an abbot or abbess [n -S]
ABBOT,the superior in a monastery [n -S]
ABCEE,the alphabetalso ABSEY [n -S]
ABEAM,in a line at right angles to the length of a vesselon the beam [adv]
ABEAR,to bear; to behave [v ABOREABORNE
ABELE,(Dutch) the white poplar tree [n -S]
ABERS,ABER(Welsh) an estuary [n]
ABETS,ABETto incite by encouragement and support [v]
ABHOR,to loathehate [v ABHORRED
ABIDE,to wait for; to staydwell [v ABID or ABODE or ABIDED
ABIES,(Latin) a fir tree [n ABIETES]
ABLED,ABLE(obsolete) to enable [v]
ABLER,ABLEcompetent
ABLES,ABLE(obsolete) to enable [v]
ABLET,a small freshwater fishaka bleak [n -S]
ABLOW,in a blowing state [adv]
ABMHO,a unit of electrical conductance [n -S]
ABODE,a dwelling-place [n -S] / to presageforebode [v ABODED
ABOHM,a unit of electrical resistance [n -S]
ABOIL,boiling [adj]
ABOMA,a South American snake [n -S]
ABOON,(Scots) above [adv]
ABORD,(archaic) to accostapproach [v -ED
ABORE,ABEARto bear; to behave [v]
ABORT,to bring forth a foetus prematurelyto cause to come to nothing [v -ED
ABOUT,approximately [adv]
ABOVE,the upper part [n -S]
ABRAM,(Shakespeare) auburn [adj]
ABRAY,(Spenser) to awakearouse
ABRIM,in a brimming state [adv]
ABRIN,a poisonous protein present in the jequirity bean [n -S]
ABRIS,ABRI(French) a bomb shelter [n]
ABSEY,(obsolete) the alphabetalso ABCEE [n -S]
ABSIT,(Latin) a student's leave to pass one night away from college [n -S]
ABUNA,(Amharic) an Ethiopian patriarch [n -S]
ABUNE,(Scots) abovealso ABOON [prep]
ABUSE,to revile or swear at; to use wrongly [v ABUSEDABUSING
ABUTS,ABUTto be adjacent to and touching [v]
ABUZZ,buzzing [adj]
ABYES,ABYE(archaic) to pay the penalty for
ABYSM,(archaic) an abyssa bottomless chasm [n -S]
ABYSS,a bottomless chasm [n -ES]
ACAIS,ACAI(Tupi) a berry found in the Brazilian rainforest
ACARI,ACARUS(Latin) a mite
ACCAS,ACCA(Australian slang) an academic
ACCOY,(Spenser) to subduepacify [v ACCOYED or ACCOIED
ACERB,bitter and souralso ACERBIC [adj ACERBER
ACERS,ACER(Latin) a plant of the maple genus [n]
ACETA,ACETUM(Latin) vinegar [n]
ACHAR,a spicy pickle made primarily from mangoused in Indian cooking [n -S]
ACHED,ACHEto endure a dull lasting pain
ACHES,ACHEto endure a dull lasting pain
ACHOO,an imitation of the sound of a sneezealso AHCHOO
ACIDS,ACIDa type of chemical compound [n]
ACIDY,resembling acidsour [adj ACIDIER
ACING,ACEto serve an unreturnable shot e.g. in tennis [v]
ACINI,ACINUS(Latin) a small sacklike division of a gland [n]
ACKEE,(Kru) a small African sapindaceous tree; its edible fruitoften used in Caribbean cookery
ACKER,(Australian slang) an academicalso ACCA [n -S]
ACMES,ACME(Greek) the highest point [n]
ACMIC,relating to the highest point [adj]
ACNED,afflicted with acne [adj]
ACNES,ACNEa skin disease caused by inflammation of the sebaceous follicles
ACOCK,in a cocked positiondefiantly [adj]
ACOLD,(Shakespeare) chilled [adj]
ACORN,the fruit of the oak tree [n -S]
ACRED,possessing acreslanded [adj]
ACRES,ACREa measure of land equivalent to 4840 square yards [n]
ACRID,sharp to the taste or smell [adj ACRIDERACRIDEST
ACROS,ACROa skiing event in which a skier performs acrobatic moves to music [n]
ACTED,ACTto do something in a specified way [v]
ACTIN,a protein found in muscle tissue [n -S]
ACTON,a stuffed jacket worn under mail [n -S]
ACTOR,a theatrical performer [n -S]
ACUTE,a type of accent mark [n -S] / sharply pointed [adj ACUTERACUTEST
ACYLS,ACYLan organometallic compound [n]
ADAGE,a proverba traditional saying expressing a common observation [n -S]
ADAPT,to make suitable [v -ED-ING
ADAWS,ADAW(Spenser) to daunt
ADAYS,(Spenser) by daydaily [adv]
ADBOT,a specialized computer program that inflicts ads on users [n -S]
ADDAX,a large light-coloured African antelope with curled horns [n -ES]
ADDED,ADDto compute the sum of [v]
ADDER,a venomous snake [n -S]
ADDIO,(Italian) goodbye [n -S]
ADDLE,to confuse [v ADDLEDADDLING
ADEEM,to cancel a bequest by destruction of the thing bequeathed [v -ED-ING
ADEPT,an expert [n -S] / highly skilled [adj ADEPTERADEPTEST
ADHAN,(Arabic) the Muslim call to prayeralso AZAN [n -S]
ADIEU,(French) a farewell [n ADIEUS or ADIEUX]
ADIOS,(Spanish) goodbye [n -ES]
ADITS,ADITa nearly horizontal shaft to the surface in a mine [n]
ADMAN,a man employed in advertising [n ADMEN]
ADMEN,ADMANa man employed in advertising [n]
ADMIN,(short for) administration [n -S]
ADMIT,to allow to enter; to confess [v ADMITTEDADMITTING
ADMIX,to mix [v ADMIXED or ADMIXTADMIXING
ADOBE,(Spanish) an unburnedsun-dried brick made of clay and straw
ADOBO,(Spanish) a Philippine dish of fish or meat [n -S]
ADOPT,to take as one's own [v -ED-ING
ADORE,to love deeply [v ADOREDADORING
ADORN,to embellish [v -ED-ING
ADOWN,(archaic) from a higher to a lower situation [adv]
ADOZE,dozing [adj]
ADRAD,(Spenser) afraidalso ADRED [adj]
ADRED,(Spenser) afraidalso ADRAD [adj]
ADSUM,(Latin) I am here (answering a roll call) [interj]
ADUKI,(Japanese) a kind of beanalso ADSUKI
ADULT,grown up [adj ADULTLY] / a fully developed individual [n -S]
ADUNC,(Latin) hookedalso ADUNCATE
ADUST,(Milton) to scorch [v -ED-ING
ADVEW,(Spenser) to view [v -ED-ING
ADYTA,ADYTUM(Latin) the inner sanctuary of a temple [n]
ADZED,ADZto dress timber with an arched blade set at right angles to the handle
ADZES,ADZEto dress timber with a cutting tool with an arched blade set at right angles to the handle
AECIA,AECIUM(Greek) a cup-shaped structure in rust fungi
AEDES,(Greek) any of a genus of mosquitoesincluding one that carries dengue and yellow fever [n AEDES]
AEGIS,(Greek) protectionpatronage
AEONS,AEONthe largest division of geological time
AERIE,the nest of a bird of preyalso EYRIE
AEROS,AERO(relating to) aircraft or aeronautics [n]
AESIR,ASa Norse god living in Asgard [n]
AFALD,onefoldalso AEFALD
AFARA,(Yoruba) a type of West African tree having a light-colouredstraight-grained wood [n -S]
AFARS,AFARa great distance [n]
AFEAR,(Spenser) to frightenalso AFFEAR
AFFIX,to fix on toappend [v -ED
AFIRE,on fire [adj]
AFLAJ,FALAJ(Arabic) an irrigation channel
AFOOT,on foot [adv]
AFORE,before [adv]
AFOUL,entangled [adj]
AFRIT,(Arabic) an evil spirit in Arabic mythologyalso AFREET [n -S]
AFROS,AFROa thick curly African hairstyle
AFTER,later in time [prep]
AGAIN,once morealso AGEN [adv]
AGAMA,(Caribbean) a kind of tropical lizardalso AGAMID [n -S]
AGAMI,a crane-like bird of South America [n -S]
AGAPE,(Greek) a love feast practised by early Christians in connection with the Last Supper; Christian love [n AGAPES or AGAPAE or AGAPAI]
AGARS,AGAR(Malay) a jelly prepared from seaweed [n]
AGAST,(Milton) to terrify [v -ED-ING
AGATE,a variety of quartz [n -S]
AGAVE,any of numerous spiny-leaved plants of the American genus Agave [n -S]
AGAZE,(archaic) at gazegazing [adj]
AGENE,a chemical compound used in bleaching flour [n -S]
AGENT,a person or thing that acts [n -S] / to act for another with authority [v -ED-ING
AGERS,AGERone that ages [n]
AGGER,(historical) an artificial mound or elevation for military use [n -S]
AGGIE,a type of playing marble [n -S]
AGGRI,ancient West African variegated glass beadsalso AGGRY [n]
AGGRO,(short for) aggressive behaviouraggravation [n -S]
AGGRY,ancient West African variegated glass beadsalso AGGRI [n]
AGHAS,AGHA(Turkish) a Turkish military officer
AGILA,(Tamil) the wood of the aloeaka agalwood [n -S]
AGILE,able to move quickly and easily [adj AGILERAGILEST
AGING,the process of growing old [n -S]
AGIOS,AGIO(Italian) a premium paid for the exchange of currency [n]
AGISM,discrimination based on agealso AGEISM [n -S]
AGIST,to admit (livestock) for a stated time into a forest [v -ED-ING
AGITA,a feeling of agitation [n -S]
AGLEE,(Scots) with a turn or twist to one sidealso AGLEY
AGLET,a metal sheath at the end of a lacealso AIGLET [n -S]
AGLEY,(Scots) with a turn or twist to one sidealso AGLEE
AGLOO,(Inuit) a hole in the ice through which a seal breathesalso AGLU [n -S]
AGLOW,glowing [adj]
AGLUS,AGLU(Inuit) a hole in the ice through which a seal breathes
AGMAS,AGMA(Greek) a phonetic symbol representing the sound 'ng' [n]
AGOGE,(Greek) in Greek musictempo; sequence in melody [n -S]
AGONE,(archaic) gonepast [adv]
AGONS,AGONthe dramatic conflict between the chief characters in a literary work [n]
AGONY,extreme suffering [n AGONIES]
AGOOD,(Shakespeare) in goodin earnest [adv]
AGORA,a marketplace in ancient Greece [n AGORAS or AGORAE] / a monetary unit of Israel [n AGOROT or AGOROTH]
AGREE,to have the same opinion [v AGREEDAGREEING
AGRIA,a skin condition with extensive pus blisters [n -S]
AGRIN,a proteoglycan that plays a role in the development of the neuromuscular junction [n -S]
AGROS,AGROa student of agricultural studies [n]
AGUED,suffering from the aguea malarial fever [adj]
AGUES,AGUEa malarial fever [n]
