AAHS, AAHto exclaim in surprise [v]
AALS, AAL(Hindi) the Indian mulberry tree
ABAC, a nomograma chart or diagram of scaled lines or curves used to assist in mathematical calculations [n -S]
ABAS, ABAa Syrian cloth of goat's or camel's hair; an outer garment made of it
ABBA, a Syrian cloth of goat's or camel's hair; an outer garment made of italso ABA
ABBE, (French) a courtesy title given in France to every one vested with the ecclesiastical habit or dress [n -S]
ABBS, ABBa woof yarn [n]
ABED, in bed [adv]
ABER, (Welsh) an estuary [n -S]
ABET, to incite by encouragement and support [v ABETTEDABETTING
ABID, ABIDEto wait for; to stay
ABLE, competentalso HABLE [adj ABLER
ABLY, ABLEcompetent
ABOS, ABO(offensive) (short for) an aborigine [n]
ABRI, (French) a bomb shelter [n -S]
ABUT, to be adjacent to and touching [v ABUTTEDABUTTING
ABYE, (archaic) to pay the penalty foralso ABY [v ABOUGHT
ABYS, ABY(archaic) to pay the penalty
ACAI, (Tupi) a berry found in the Brazilian rainforestaka palm berry
ACCA, (Australian slang) an academicalso ACKER [n -S]
ACED, ACEto serve an unreturnable shot e.g. in tennis [v]
ACER, (Latin) a plant of the maple genus [n -S]
ACES, ACEto serve an unreturnable shot e.g. in tennis [v]
ACHE, to endure a dull lasting painalso AKE [v ACHED
ACHY, aching [adj ACHIERACHIEST]
ACID, sharpsour [adj ACIDER
ACME, (Greek) the highest point [n -S]
ACNE, a skin disease caused by inflammation of the sebaceous folliclesesp. on the face
ACRE, a measure of land equivalent to 4840 square yards [n -S]
ACRO, a skiing event in which a skier performs acrobatic moves to music [n -S]
ACTA, (Latin) official minutes of proceedings [n]
ACTS, ACTto do something in a specified way [v]
ACYL, an organometallic compound [n -S]
ADAW, (Spenser) to dauntsubdue [v -ED
ADDS, ADDto compute the sum of [v]
ADDY, (slang) an email address [n ADDIES]
ADIT, a nearly horizontal shaft to the surface in a mine [n -S]
ADOS, ADObustle or fuss [n]
ADRY, (archaic) in a state of thirst or dryness [adv]
ADZE, to dress timber with a cutting tool with an arched blade set at right angles to the handlealso ADZ [v ADZED
AEON, the largest division of geological timecomposed of several eras
AERO, (relating to) aircraft or aeronautics [n -S]
AERY, the nest of a bird of preyalso EYRIE
AESC, (Old English) an Old English rune used for AE [n -ES]
AFAR, at a great distance [adv] / a great distance [n -S]
AFFY, (obsolete) to trust; to assure on one's faith [v AFFIED or (Spenser) AFFYDEAFFYING
AFRO, a thick curly African hairstylealso FRO [n -S]
AGAR, (Malay) a jelly prepared from seaweed [n -S]
AGAS, AGA(Turkish) a Turkish military officer
AGED, being of a certain age; old [adj AGEDLY]
AGEE, (Scots) off the straight; ajaralso AJEE [adv]
AGEN, (dialect) once morealso AGAIN
AGER, one that ages [n -S]
AGES, AGEto grow old [v]
AGHA, (Turkish) a Turkish military officeralso AGA [n -S]
AGIN, (dialect) againalso AGEN [adv]
AGIO, (Italian) a premium paid for the exchange of currency [n -S]
AGLU, (Inuit) a hole in the ice through which a seal breathesalso AGLOO [n -S]
AGLY, (Scots) with a turn or twist to one sidealso AGLEE
AGMA, (Greek) a phonetic symbol representing the sound 'ng' [n -S]
AGOG, in excited eagerness [adv]
AGON, the dramatic conflict between the chief characters in a literary work [n AGONS or AGONES]
AGRO, a student of agricultural studies [n -S]
AGUE, a malarial fever [n -S]
AHED, AHto say ah [v]
AHEM, a sound expressing delicate interruption [interj]
AHIS, AHI(Hawaiian) a fish (yellowfin tuna or bigeye) [n]
AHOY, an interjection used to hail another vessel [interj]
AIAS, AIAin India
AIDA, a finely-meshed cotton fabric used for cross-stitch embroidery [n -S]
AIDE, (French) a confidential assistant to a person of senior rank [n -S]
AIDS, AIDto help [v]
AIGA, (Samoan) a large familyoften spanning several generations
AILS, AILto be indisposed [v]
AIMS, AIMto direct a course [v]
AINE, (French) (of a male) eldersenior [adj]
AINS, AINa Hebrew letter [n]
AIRN, (Scots) iron [n -S] / to iron [v -ED-ING
AIRS, AIRto make known publicly [v]
AIRT, (Scots) directionquarter [n -S] / to direct
AIRY, relating to air [adj AIRIERAIRIEST
AITS, AITa small island
AITU, a Polynesian demigod [n -S]
AJAR, partly open [adj]
AJEE, (Scots) off the straight; ajaralso AGEE [adv]
AJIS, AJI(Spanish) a spicy pepper [n]
AKAS, AKA(Maori) a New Zealand vine [n]
AKED, AKEto endure a dull lasting pain
AKEE, (Kru) a small African sapindaceous tree; its edible fruitoften used in Caribbean cookery
AKES, AKEto endure a dull lasting pain
AKIN, related by blood [adj]
ALAE, ALAin biology
ALAN, a large hunting dogalso ALAND
ALAP, (Sanskrit) in Indian musicthe introductory section of a raga
ALAR, pertaining to wings [adj]
ALAS, an interjection expressing grief [interj]
ALAY, to quellalso ALLAY
ALBA, the white substance of the brain [n -S]
ALBE, (archaic) albeitalso ALBEE
ALBS, ALBa priest's long
ALCO, (Australian slang) a heavy drinker or alcoholicalso ALKO [n -S]
ALEC, a herring [n -S]
ALEE, toward the side of a vessel sheltered from the wind [adv]
ALEF, (Hebrew) the first letter of the Hebrew alphabetalso ALEPH [n -S]
ALES, ALEa kind of beer
ALEW, (Spenser) a greeting cryhalloo [n -S]
ALFA, (Arabic) a North African esparto grassalso HALFA [n -S]
