AARDWOLVES,   AARDWOLF(South African) a hyena-like African mammal
ABACTERIAL,   not caused by or characterised by the presence of bacteria [adj]
ABANDONEES,   ABANDONEEone to whom anything is legally abandoned [n]
ABANDONERS,   ABANDONERone who abandons [n]
ABANDONING,   ABANDONto leave or give up completely [v]
ABASEMENTS,   ABASEMENTthe state of being abased (humbled); humiliation [n]
ABASHMENTS,   ABASHMENTthe state of being abashed [n]
ABATEMENTS,   ABATEMENTa diminution; a mark of dishonour added to heraldic arms [n]
ABBOTSHIPS,   ABBOTSHIPthe office of an abbot (the head of a monastery) [n]
ABBREVIATE,   to make briefer [v ABBREVIATEDABBREVIATING
ABCOULOMBS,   ABCOULOMBthe unit of electric charge
ABDICATING,   ABDICATEto renounce or surrender formally
ABDICATION,   an act of abdicating [n -S]
ABDICATIVE,   relating to abdication [adj]
ABDICATORS,   ABDICATORone who abdicates [n]
ABDOMINALS,   ABDOMINALan abdominal muscle [n]
ABDOMINOUS,   potbellied [adj]
ABDUCENTES,   ABDUCENS(Latin) a cranial nerve [n]
ABDUCTIONS,   ABDUCTIONthe act of abducing or abducting [n]
ABDUCTORES,   ABDUCTORa person who abducts [n]
ABERDEVINE,   a bird-fancier's name for the siskin [n -S]
ABERRANCES,   ABERRANCEthe state of being aberrant; deviation from a norm
ABERRANTLY,   ABERRANTwandering or straying [adv]
ABERRATING,   ABERRATEto go astray
ABERRATION,   an instance of being aberrant [n -S]
ABEYANCIES,   ABEYANCYa state of suspension or temporary inactivity
ABHORRENCE,   the act of abhorringalso ABHORRENCY [n -S]
ABHORRENCY,   (obsolete) the act of abhorringalso ABHORRENCE [n ABHORRENCIES]
ABHORRINGS,   ABHORRINGan object of abhorrence [n]
ABIOGENIST,   a believer in abiogenesisthe supposed spontaneous origination of living organisms directly from lifeless matter [n -S]
ABIOTROPHY,   bodily or mental loss of function or degeneration for reasons unknown [n ABIOTROPHIES]
ABIRRITANT,   any drug or agent that relieves irritation [n -S]
ABIRRITATE,   to soothe or make less irritable [v ABIRRITATEDABIRRITATING
ABITURIENT,   a pupil leaving school for university [n -S]
ABJECTIONS,   ABJECTIONthe act of bringing down or humbling [n]
ABJECTNESS,   the state of being abject [n -ES]
ABJOINTING,   ABJOINTto cut off by forming a septum [v]
