AAH,  an interjection expressing surprise [interj] / to exclaim in surprise [v -ED-ING
AAL,  (Hindi) the Indian mulberry tree aka noni
AAS,  AA(Hawaiian) a volcanic rock consisting of angular blocks of lava with a very rough surface [n]
ABA,  a Syrian cloth of goat's or camel's hair; an outer garment made of it also ABAYA [n -S]
ABB,  a woof yarn [n -S]
ABO,  (offensive) (short for) an aborigine [n -S]
ABS,  AB an abdominal muscle [n]
ABY,  (archaic) to pay the penalty also ABYE [v ABOUGHT
ACE,  an expert [n -S] / to serve an unreturnable shot e.g. in tennis [v ACEDACING
ACH,  (Scots) expressing regret or impatience also OCH [interj]
ACT,  to do something in a specified way [v -ED-ING
ADD,  to compute the sum of [v -ED-ING
ADO,  bustle or fuss [n -S]
ADS,  AD(colloquial) an advertisement [n]
ADZ,  to dress timber with an arched blade set at right angles to the handle also ADZE [v -ED
AFF,  (Scots) off [adv]
AFT,  behind nautically [adv]
AGA,  (Turkish) a Turkish military officer also AGHA [n -S]
AGE,  to grow old [v AGED AGING or AGEING
AGO,  in the past [adv]
AGS,  AG(short for) agriculture [n]
AHA,  an interjection expressing exultation [interj]
AHI,  (Hawaiian) a fish (yellowfin tuna or bigeye) [n -S]
AHS,  AHto say ah [v]
AIA,  in India a maid or nurse
AID,  to help [v -ED-ING
AIL,  to be indisposed [v -ED-ING
AIM,  to direct a course [v -ED-ING
AIN,  a Hebrew letter [n -S]
AIR,  the mixture of gases breathed by people and animals also AYRE [n -S] / to make known publicly [v -ED
AIS,  AI(Tupi) a three-toed sloth [n]
AIT,  a small island also EYOT [n -S]
AJI,  (Spanish) a spicy pepper [n AJIS or AJIES]
AKA,  (Maori) a New Zealand vine [n -S]
AKE,  to endure a dull lasting pain also ACHE [v AKED
ALA,  in biology any flat winglike projection [n ALAE]
ALB,  a priest's long white vestment [n -S]
ALE,  a kind of beer made without using hops as a flavouring
ALF,  (Australian slang) an uncultivated Australian [n -S]
ALL,  the whole [n -S]
ALP,  a high mountain [n -S]
ALS,  AL(Hindi) the Indian mulberry tree
ALT,  a high musical note [n -S]
ALU,  (Hindi) a potato also ALOO [n -S]
AMA,  (Hindi) a native maidservant or child's nurse esp. a wet nurse
AME,  (French) a soul [n -S]
AMI,  (French) a friend [n -S]
AMP,  (Australian slang) to excite [v -ED-ING
AMU,  a unit of mass [n -S]
ANA,  a collection of someone's table-talk [n -S]
AND,  a conjunction indicating addition [conj] / the symbol ampersand; something added [n -S]
ANE,  (Scots) one also YIN [n -S]
ANI,  a tropical American bird [n -S]
ANN,  (Scots) the half-year's stipend payable to a minister's wife on his deathalso ANNAT [n -S]
ANS,  as in ifs and ans - things that might have happened
ANT,  a small industrious insect [n -S]
ANY,  whichever [adj]
APE,  to mimic [v APEDAPING
APO,  (short for) apolipoprotein a type of protein [n -S]
APP,  (short for) application program [n -S]
APT,  suited to [adj APTERAPTEST
ARB,  (short for) an arbitrageur a stocks and shares shyster [n -S]
ARC,  a part of the circumference of a circle or other curve [n -S] / to make an electric discharge [v ARCKED or ARCEDARCKING or ARCING
ARD,  a kind of primitive plough [n -S]
ARE,  a unit of metric land measure [n -S]
ARF,  a barking sound [n -S]
ARK,  to put into an ark (a coffer) [v -ED-ING
